1A1,400,325
1A2,400,1475
1A3,400,2600
1A4,400,3725
1B4,1600,3725
1B3,1600,2600
1B2,1600,1450
1B1,1600,333
1C1,2700,333
1C2,2700,1450
1C3,2700,2585
1C4,2700,3725
2A1,400,6050
2A2,400,7175
2A3,400,8325
2A4,400,9450
2B4,1590,9450
2B3,1590,8300
2B2,1590,7175
2B1,1590,6025
2C1,2700,6025
2C2,2700,7160
2C3,2700,8300
2C4,2700,9431
3A1,440,11750
3A2,440,12881
3A3,440,14012
3A4,440,15143
3B4,1575,15143
3B3,1575,14012
3B2,1575,12881
3B1,1575,11750
3C1,2715,11750
3C2,2715,12881
3C3,2715,14012
3C4,2715,15143
4A1,4285,300
4A2,4285,1415
4A3,4285,2546
4A4,4285,3677
4B4,5425,3677
4B3,5425,2546
4B2,5425,1405
4B1,5425,285
4C1,6550,285
4C2,6550,1405
4C3,6550,2535
4C4,6550,3667
5A1,4285,6000
5A2,4285,7131
5A3,4285,8280
5A4,4285,9411
5B4,5425,9411
5B3,5425,8280
5B2,5425,7131
5B1,5425,6000
5C1,6550,5995
5C2,6550,7131
5C3,6550,8260
5C4,6550,9400
6A1,4285,11700
6A2,4285,12831
6A3,4285,13962
6A4,4285,15093
6B4,5425,15093
6B3,5425,13962
6B2,5425,12831
6B1,5425,11700
6C1,6550,11700
6C2,6550,12831
6C3,6550,13962
6C4,6550,15093
7A1,8125,310
7A2,8125,1431
7A3,8125,2562
7A4,8125,3693
7B4,9266,3693
7B3,9266,2552
7B2,9266,1421
7B1,9266,295
7C1,10397,285
7C2,10397,1410
7C3,10397,2541
7C4,10397,3672
8A1,8125,5980
8A2,8125,7111
8A3,8125,8252
8A4,8125,9383
8B4,9256,9383
8B3,9256,8242
8B2,9256,7111
8B1,9256,5975
8C1,10387,5965
8C2,10387,7096
8C3,10387,8235
8C4,10387,9366
9A1,8125,11700
9A2,8125,12831
9A3,8125,13962
9A4,8125,15093
9B4,9256,15093
9B3,9256,13952
9B2,9256,12821
9B1,9256,11690
9C1,10387,11680
9C2,10387,12811
9C3,10387,13942
9C4,10387,15073
10A1,11925,245
10A2,11925,1366
10A3,11925,2497
10A4,11925,3628
10B4,13088,3618
10B3,13088,2487
10B2,13088,1356
10B1,13088,225
10C1,14200,225
10C2,14200,1356
10C3,14200,2487
10C4,14210,3618
11A1,11970,5970
11A2,11970,7101
11A3,11970,8232
11A4,11970,9363
11B4,13101,9363
11B3,13101,8232
11B2,13101,7101
11B1,13101,5960
11C1,14225,5960
11C2,14225,7091
11C3,14225,8222
11C4,14225,9353
12A1,11970,11657
12A2,11970,12788
12A3,11970,13919
12A4,11970,15050
12B4,13101,15050
12B3,13101,13919
12B2,13101,12788
12B1,13101,11650
12C1,14232,11650
12C2,14232,12788
12C3,14232,13910
12C4,14232,15040
